trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
116,False,"{'a': 0.3, 'e': 0.8810298829117934}",25,2,-176.89013413756737,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 4}",1
117,False,"{'a': 0.3, 'e': 0.8747175668762412}",20,0,-154.73325936461444,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
118,False,"{'a': 0.3, 'e': 0.8681204653058842}",30,0,-114.95144311223154,"{0: 18, 1: 2, 2: 9, 3: 0, 4: 1}",0
119,False,"{'a': 0.3, 'e': 0.8612310859366175}",25,0,-117.68199844524823,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
120,False,"{'a': 0.3, 'e': 0.8540423161457402}",25,0,-96.150405549829,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
121,False,"{'a': 0.3, 'e': 0.846547494735966}",25,0,-28.481389589511398,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
122,False,"{'a': 0.3, 'e': 0.8387404873977555}",25,13,-59.255675595258126,"{0: 6, 1: 0, 2: 5, 3: 1, 4: 0}",1
123,False,"{'a': 0.3, 'e': 0.8306157654025316}",25,0,-52.62254207444333,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
124,False,"{'a': 0.3, 'e': 0.822168486966864}",25,0,-223.60083145134865,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 4}",0
125,False,"{'a': 0.3, 'e': 0.8133945806096589}",25,0,-95.71158884321113,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
126,False,"{'a': 0.3, 'e': 0.8042908297028982}",20,0,-65.83422632367522,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
127,False,"{'a': 0.3, 'e': 0.794854957294215}",20,0,-46.29921473296151,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
128,False,"{'a': 0.3, 'e': 0.7850857101597508}",20,9,-38.69521446779327,"{0: 5, 1: 4, 2: 1, 3: 1, 4: 0}",1
129,False,"{'a': 0.3, 'e': 0.7749829409319885}",20,0,-46.74433032961689,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
130,False,"{'a': 0.3, 'e': 0.7645476870436541}",25,0,-67.95451780101278,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
131,False,"{'a': 0.3, 'e': 0.753782245139807}",20,0,-88.89522302879381,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
132,False,"{'a': 0.3, 'e': 0.7426902395404883}",20,6,-23.16035930475163,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
133,False,"{'a': 0.3, 'e': 0.7312766832905122}",20,0,-83.23030507822877,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
134,False,"{'a': 0.3, 'e': 0.7195480303157182}",30,0,-114.61238373892975,"{0: 19, 1: 6, 2: 3, 3: 0, 4: 2}",0
135,False,"{'a': 0.3, 'e': 0.7075122172204783}",20,0,-40.24572013842222,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
136,False,"{'a': 0.3, 'e': 0.6951786933131071}",20,0,-27.988557346610378,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
137,False,"{'a': 0.3, 'e': 0.6825584375368542}",25,9,-104.71516734085543,"{0: 9, 1: 0, 2: 4, 3: 2, 4: 1}",1
138,False,"{'a': 0.3, 'e': 0.6696639611160681}",25,0,-102.26346503679059,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
139,False,"{'a': 0.3, 'e': 0.6565092949003392}",30,5,-53.544042787872534,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",1
140,False,"{'a': 0.3, 'e': 0.643109960602849}",25,16,-39.84407974047961,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
141,False,"{'a': 0.3, 'e': 0.6294829253800767}",20,5,-52.3020304647289,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 1}",1
142,False,"{'a': 0.3, 'e': 0.6156465394840139}",30,8,0.41803014458241483,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 0}",1
143,False,"{'a': 0.3, 'e': 0.6016204570290541}",25,7,-108.06019213342105,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 2}",1
144,False,"{'a': 0.3, 'e': 0.5874255402460656}",30,0,-126.97288114383934,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
145,False,"{'a': 0.3, 'e': 0.5730837479368673}",20,15,2.072777989254683,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.3, 'e': 0.5586180091832914}",30,0,-12.843555261554437,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 0}",0
147,False,"{'a': 0.3, 'e': 0.544052083695545}",25,0,-45.65944847692416,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
148,False,"{'a': 0.3, 'e': 0.5294104104936949}",30,14,-29.19522320013887,"{0: 13, 1: 0, 2: 1, 3: 2, 4: 0}",1
149,False,"{'a': 0.3, 'e': 0.5147179468931393}",20,0,2.4680606010503094,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
150,False,"{'a': 0.3, 'e': 0.5}",30,3,-158.4911646415096,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 3}",1
151,False,"{'a': 0.3, 'e': 0.48528205310686073}",20,0,-5.5428021161645065,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
152,False,"{'a': 0.3, 'e': 0.4705895895063051}",30,13,-49.28124599035006,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
153,False,"{'a': 0.3, 'e': 0.45594791630445497}",20,0,-63.42670305360453,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
154,False,"{'a': 0.3, 'e': 0.44138199081670854}",20,6,-5.662142060795243,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
155,False,"{'a': 0.3, 'e': 0.4269162520631328}",25,0,-61.44500154029782,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
156,False,"{'a': 0.3, 'e': 0.41257445975393436}",20,2,-20.180553153948512,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 0}",1
157,False,"{'a': 0.3, 'e': 0.3983795429709458}",20,9,-1.5316349422535835,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
158,False,"{'a': 0.3, 'e': 0.384353460515986}",30,20,-4.469242971588331,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
159,False,"{'a': 0.3, 'e': 0.37051707461992345}",30,19,-35.738243606981975,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
160,False,"{'a': 0.3, 'e': 0.356890039397151}",30,15,25.276621034073482,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
